cveId,assignerShortName,dateReserved,datePublished,dateUpdated,"version",baseSeverity,baseScore,vectorString
2023-0061,WPScan,2023-01-05T04:18:38.815Z,2023-02-13T14:32:15.138Z,2023-02-13T14:32:15.138Z,0,,,
2023-0062,WPScan,2023-01-05T04:18:45.247Z,2023-02-06T19:59:33.722Z,2023-02-06T19:59:33.722Z,0,,,
2023-0063,WPScan,2023-01-05T04:18:50.897Z,2023-03-06T13:34:02.007Z,2023-03-06T13:34:02.007Z,0,,,
2023-0064,WPScan,2023-01-05T04:19:07.753Z,2023-03-06T13:34:06.078Z,2023-03-06T13:34:06.078Z,0,,,
2023-0065,WPScan,2023-01-05T04:19:12.431Z,2023-03-06T13:34:06.872Z,2023-03-06T13:34:06.872Z,0,,,
2023-0066,WPScan,2023-01-05T04:19:16.842Z,2023-03-13T16:03:28.952Z,2023-03-13T16:03:28.952Z,0,,,
2023-0067,WPScan,2023-01-05T04:19:20.807Z,2023-02-21T08:50:41.315Z,2023-02-21T08:50:41.315Z,0,,,
2023-0068,WPScan,2023-01-05T04:19:25.605Z,2023-03-06T13:34:02.785Z,2023-03-06T13:34:02.785Z,0,,,
2023-0069,WPScan,2023-01-05T04:19:30.098Z,2023-03-06T13:34:07.685Z,2023-03-06T13:34:07.685Z,0,,,
2023-0070,WPScan,2023-01-05T04:19:36.606Z,2023-02-06T19:59:13.338Z,2023-03-17T08:55:14.652Z,0,,,
2023-0071,WPScan,2023-01-05T04:19:40.847Z,2023-01-30T20:31:33.172Z,2023-01-30T20:31:33.172Z,0,,,
2023-0072,WPScan,2023-01-05T04:19:47.221Z,2023-02-06T19:59:47.480Z,2023-02-06T19:59:47.480Z,0,,,
2023-0073,WPScan,2023-01-05T04:19:51.221Z,2023-03-13T16:03:37.192Z,2023-03-13T16:03:37.192Z,0,,,
2023-0074,WPScan,2023-01-05T04:19:56.161Z,2023-01-30T20:31:45.765Z,2023-01-30T20:31:45.765Z,0,,,
2023-0075,WPScan,2023-01-05T04:20:02.718Z,2023-02-13T14:32:24.576Z,2023-02-13T14:32:24.576Z,0,,,
2023-0076,WPScan,2023-01-05T04:20:08.106Z,2023-03-06T13:33:57.963Z,2024-02-13T09:27:58.086Z,0,,,
2023-0077,synology,2023-01-05T07:29:59.166Z,2023-01-05T09:07:22.013Z,2023-01-05T09:07:22.013Z,1.2,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L
2023-0078,WPScan,2023-01-05T08:01:01.093Z,2023-03-06T13:34:01.157Z,2023-03-06T13:34:01.157Z,0,,,
2023-0079,WPScan,2023-01-05T08:26:53.723Z,2024-01-16T15:54:58.622Z,2024-01-16T15:54:58.622Z,0,,,
2023-0080,WPScan,2023-01-05T08:30:50.719Z,2023-02-13T14:32:22.189Z,2023-02-13T14:32:22.189Z,0,,,
2023-0081,WPScan,2023-01-05T09:28:08.888Z,2023-02-06T19:59:38.040Z,2023-02-06T19:59:38.040Z,0,,,
2023-0082,WPScan,2023-01-05T10:10:41.541Z,2023-02-06T19:59:29.364Z,2023-02-06T19:59:29.364Z,0,,,
2023-0083,OpenHarmony,2023-01-05T12:32:56.058Z,2023-03-10T10:44:22.877Z,2023-03-10T10:44:22.877Z,3.0,MEDIUM,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N
2023-0084,Wordfence,2023-01-05T13:57:08.072Z,2023-03-02T18:35:22.201Z,2023-03-02T18:35:22.201Z,*,HIGH,7.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N
2023-0085,Wordfence,2023-01-05T14:15:05.476Z,2023-03-02T16:01:14.196Z,2023-03-02T16:01:14.196Z,*,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N
2023-0086,Wordfence,2023-01-05T16:21:13.144Z,2023-01-05T16:21:28.154Z,2023-01-05T16:21:28.154Z,*,MEDIUM,5.4,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L
2023-0087,Wordfence,2023-01-05T18:13:54.793Z,2023-01-05T18:13:58.328Z,2023-01-05T18:13:58.328Z,*,MEDIUM,5.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:L/I:L/A:N
2023-0088,Wordfence,2023-01-05T18:14:46.096Z,2023-01-05T18:15:34.743Z,2023-01-05T18:15:34.743Z,*,HIGH,8.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
2023-0089,Proofpoint,2023-01-05T19:17:19.339Z,2023-03-08T00:27:25.544Z,2023-03-08T00:27:25.544Z,8.*,HIGH,8.8,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H
2023-0090,Proofpoint,2023-01-05T19:17:28.968Z,2023-03-08T00:27:36.914Z,2023-07-12T19:00:06.801Z,8.*,CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H
2023-0091,redhat,2023-01-05T20:27:38.369Z,2023-01-11T20:44:07.553Z,2023-01-13T04:22:02.451274Z,n/a,,,
,,,,,,,,
2023-0093,Okta,2023-01-05T00:00:00,2023-03-06T00:00:00,2023-03-06T00:00:00,1.13.1,,,
2023-0094,WPScan,2023-01-06T03:26:50.188Z,2024-01-16T15:55:46.407Z,2024-01-16T15:55:46.407Z,0,,,
2023-0095,WPScan,2023-01-06T07:35:35.265Z,2023-02-06T19:59:23.089Z,2023-02-06T19:59:23.089Z,0,,,
2023-0096,WPScan,2023-01-06T07:39:29.221Z,2023-02-06T19:59:39.682Z,2023-02-06T19:59:39.682Z,0,,,
